Fecha	Título	Link	Perma.cc
37269.0	"Acudirán familiares de desaparecidos a la CIDH"	"http://archivo.eluniversal.com.mx/nacion/76381.html"	"https://perma.cc/2AZJ-BVTG"
37272.0	"Sugiere el Centro Pro asesoría en delitos de lesa humanidad"	"http://archivo.eluniversal.com.mx/nacion/76669.html"	"https://perma.cc/7ATH-5G5Y"
37274.0	"Desacreditan pesquisa sobre la guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/76915.html"	"https://perma.cc/3DAQ-574W"
37275.0	"Prevén fracaso de indagación sobre desapariciones"	"http://archivo.eluniversal.com.mx/nacion/77010.html"	"https://perma.cc/6XND-HDAG"
37277.0	"Comisión de la verdad o fiscalía especial"	"http://archivo.eluniversal.com.mx/editoriales/12505.html"	"https://perma.cc/97DN-MW2S"
37283.0	"Fundamental, la sociedad para resolver desapariciones: fiscal"	"http://archivo.eluniversal.com.mx/nacion/77809.html"	"https://perma.cc/9DWP-NZAP"
37285.0	"No apoyarán los familiares de víctimas a la fiscalía"	"http://archivo.eluniversal.com.mx/nacion/77963.html"	"https://perma.cc/E6KN-8ZL9"
37287.0	"Ordenan a PGR indagar 68"	"http://archivo.eluniversal.com.mx/primera/11101.html"	"https://perma.cc/KWM6-5RTH"
37288.0	"Exigen comisión de la verdad"	"http://archivo.eluniversal.com.mx/nacion/78303.html"	"https://perma.cc/G97Y-W84U"
37291.0	"El fallo de la Corte no resuelve la duda"	"http://archivo.eluniversal.com.mx/editoriales/12875.html"	"https://perma.cc/53M3-2J25"
37294.0	"Denunciarán más casos de desaparecidos"	"http://archivo.eluniversal.com.mx/nacion/78803.html"	"https://perma.cc/42S8-NT3E"
37299.0	"Prescribieron los delitos: Soberanes"	"http://archivo.eluniversal.com.mx/nacion/79236.html"	"https://perma.cc/8H9A-PHMK"
37299.0	"200 muertos en Tlatelolco: cifras de EU"	"http://archivo.eluniversal.com.mx/primera/11343.html"	"https://perma.cc/AL99-9RYK"
37301.0	"Horizonte Político / Reconciliación histórica"	"http://archivo.eluniversal.com.mx/editoriales/13075.html"	"https://perma.cc/C88Z-LNZC"
37307.0	"Abrirán 3 oficinas en estados para indagar guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/79892.html"	"https://perma.cc/QVZ7-LLS8"
37308.0	"Acata PGR orden de Corte; abre investigación sobre 68"	"http://archivo.eluniversal.com.mx/nacion/79982.html"	"https://perma.cc/2WH3-BPQL"
37309.0	"Niegan línea para indagar desapariciones"	"http://archivo.eluniversal.com.mx/nacion/80060.html"	"https://perma.cc/4CG2-GJA2"
37312.0	"Guerrero: van campesinos al DF para exigir obras sociales"	"http://archivo.eluniversal.com.mx/estados/44060.html"	"https://perma.cc/BA3G-83RF"
37323.0	"Puede LEA ser citado a declarar sobre 68: Creel"	"http://archivo.eluniversal.com.mx/nacion/81198.html"	"https://perma.cc/6AFM-Q78Y"
37328.0	"Cautela de senadores ante fiscalía para \"guerra sucia"	"http://archivo.eluniversal.com.mx/primera/11982.html"	"https://perma.cc/2AUL-9Q5S"
