Filename	Title	Source
"Trachtenberg_FR_19500810"	"Note: Réarmement de l'Allemagne, 10 Août, 1950"	"n/a"
"Trachtenberg_FR_19500811"	"Télégramme de Paris, Exposé par M. Carlo Schmid devant l'Assemblée Consultative du Conseil de l'Europe, 11 Août 1950"	"n/a"
"Trachtenberg_FR_19500815"	"Note: Réarmement de l'Allemagne, 5 Août 1950"	"n/a"
"Trachtenberg_FR_19500819"	"Lettre de l'Ambassadeur de France en Allemagne, Francois-Poncet, au Ministre Schuman, 19 Août 1950"	"n/a"
"Trachtenberg_FR_19500823"	"Télégramme de Francois-Poncet à Paris, 23 Août 1950"	"n/a"
"Trachtenberg_FR_19500824"	"Télégramme de Francois-Poncet à Paris, 24 Août 1950"	"n/a"
"Trachtenberg_FR_19500905"	"Note: Le memorandum américain sur l'armée européenne, 5 Septembre 1950"	"n/a"
"Trachtenberg_FR_19500906"	"Note: du Réarmement de l'Allemagne, 6 Septembre 1950"	"n/a"
"Trachtenberg_FR_19500910"	"Note: Réarmement allemand, 10 Septembre 1950"	"n/a"
"Trachtenberg_FR_19500913"	"Télégramme de Berard, Bonn, à Paris, Exposé du Dr Schumacher, 13 Septembre 1950"	"n/a"
"Trachtenberg_FR_19501003"	"Note: du réarmement de l'Allemagne, 3 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501005"	"Télégramme de Francois-Poncet à Paris, 5 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501006"	"Télégramme de Francois-Poncet à Paris, 6 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501009_1"	"Télégramme de Paris à Ambassades Francaises, 9 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501009_2"	"Télégramme de Haussaire, Bonn, à Paris, 9 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501009_3"	"Télégramme de Massigli à Paris, 9 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501009_4"	"Télégramme de Paris à Bonn, Réarmement allemand, 9 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501011_1"	"Télégramme de Massigli à Paris, 11 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501011_2"	"Télégramme de Bonnet à Paris, 11 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501013"	"Télégramme de Francois-Poncet à Paris, 13 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501018"	"Note: Réarmement allemand, 18 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501023"	"Télégramme de Francois-Poncet à Paris, 23 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501030"	"Télégramme de Haussaire, Bonn, à Paris, 30 Octobre 1950"	"n/a"
"Trachtenberg_FR_19501105"	"Télégramme de Berard, Bonn, à Paris, 5 Novembre 1950"	"n/a"
"Trachtenberg_FR_19501108_1"	"Télégramme de Francois-Poncet à Paris, 8 Novembre 1950"	"n/a"
"Trachtenberg_FR_19501108_2"	"Télégramme de Francois-Poncet à Paris, 8 Novembre 1950"	"n/a"
"Trachtenberg_FR_19501114"	"Télégramme de Paris à Ambassades Francaises, 14 Novembre 1950"	"n/a"
"Trachtenberg_FR_19501115"	"Lettre de l'Ambassadur de France en Allemagne, Francois-Poncet, au Ministre Schuman, Débat du 8 Novembre, au Bundestag, sur la remilitarisation de l'Allemagne, 15 Novembre 1950"	"n/a"
"Trachtenberg_FR_19501204"	"Note: Revendications allemandes, 4 Décembre 1950"	"n/a"
"Trachtenberg_FR_19501205"	"Note: Revendications allemandes (suite à la note du 4 décembre), 5 Décembre 1950"	"n/a"
"Trachtenberg_FR_19501209"	"Note: Accord de Sécurité, 9 Décembre 1950"	"n/a"
"Trachtenberg_FR_19501212"	"Note: Allemagne: Egalité des droits et problème de la Défense, 12 Décembre 1950"	"n/a"
"Trachtenberg_FR_19501215"	"Letter from Amembassy Paris to Robert Schuman, December 15, 1950"	"n/a"
"Trachtenberg_FR_19510101"	"Idées Essentieles, 1 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510104"	"Note: Les Etats-Unis et le rétablissement de la souveraineté allemande, 4 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510106_1"	"Télégramme du Ministre Schuman à Ambafrance Londres,  6 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510106_2"	"Télégramme de Paris à Ambassades Francaises Londres, Washington et Bonn, 6 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510111"	"Télégramme de Massigli à Paris, 11 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510116"	"Telegramm: Minister für Auswärtige Angelegenheiten Schuman an Botschafter Bonnet, 27 Januar 1951"	"n/a"
"Trachtenberg_FR_19510117"	"Obsérvations au sujet des remarques présentées par le state department, 17 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510122"	"Note: Réarmement allemand, Beaulieu, 22 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510129"	"Conclusions de la Reunion Tenue Dans le Bureau de M.Sauvagnargues, Sur la Situation en Allemagne, Janvier 29, 1951"	"n/a"
"Trachtenberg_FR_19510130"	"Télégramme de Paris à Ambafrance Bonn, 30 Janvier 1951"	"n/a"
"Trachtenberg_FR_19510209"	"Télégramme de Massigli à Paris, 9 Février 1951"	"n/a"
"Trachtenberg_FR_19510214"	"Télégramme de Francois-Poncet à Paris, 14 Février 1951"	"n/a"
"Trachtenberg_FR_19510216"	"Télégramme de Francois-Poncet à Paris, 16 Février 1951"	"n/a"
"Trachtenberg_FR_19510217"	"Télégramme de Massigli à Paris, 17 Février 1951"	"n/a"
"Trachtenberg_FR_19510219"	"Note: Réarmement allemand et concessions politiques à faire à l'Allemagne, 19 Février 1951"	"n/a"
"Trachtenberg_FR_19510222"	"Télégramme de Paris à Ambafrance Londres, 22 Février 1951"	"n/a"
"Trachtenberg_FR_19510414"	"Critique de la solution proposée par la Conférence de Paris, 14 Avril 1951"	"n/a"
"Trachtenberg_FR_19510423"	"Télégramme du Ministre Schuman à Ambafrance Bonn, 24 Avril 1951"	"n/a"
"Trachtenberg_FR_19510427"	"Lettre du Général Paulely à Massigli, 27 Avril 1951"	"n/a"
"Trachtenberg_FR_19510515"	"Télégramme de Paris à Ambassades Francaises Londres et Washington, 15 Mai 1951"	"n/a"
"Trachtenberg_FR_19510518"	"Note pour le Président: Accords contractuels avec la République Fédérale d'Allemagne, 18 Mai 1951"	"n/a"
"Trachtenberg_FR_19510908"	"Lettre de Berard, Ambafrance Bonn, au Ministre Schuman, Entretien d'adieux de M. Leroy-Beaulieu avec le Chancelier Fédéral, 8 Septembre 1951"	"n/a"
