EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/activists-and-environmentalists-are-persecuted-after-peaceful-demonstration/,https://perma.cc/UH24-ZSDD,EDI_NENA.NY003.text.350orgActivists.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://haveyoursei.org/,https://perma.cc/LFL9-WPZK,EDI_NENA.NY003.text.350orgHaveYourSei.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/values/,https://perma.cc/L2ZP-NN5F,EDI_NENA.NY003.text.350orgValues.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/science/,https://perma.cc/Z9MV-YVYZ,EDI_NENA.NY003.text.350orgScience.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/,https://perma.cc/6VQJ-A6UB,EDI_NENA.NY003.text.350orgHome.2017.nvcx,
NY004,PUSH Buffalo,,,,,,
NY005,Alliance for a Green Economy (AGREE),,,,,,
NY006,System Change not Climate Change-New York chapter,,,,,,
NY007,Sane Energy Project,,,,,,
NY008,NY Renews,,,,,,
NY009,GRID Alternatives Tri-State,,,,,,
NS001,Sable Wind Farm,,,,,,
ON001,Feed-In Tariff (FIT) and MicroFIT program,,,,,,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/cupe_celebrates_2016_eng_single_pages_final_reduced.pdf,https://perma.cc/8TBS-ZNAB,EDI_NENA.ON002.text.CUPECelebrates.2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/Working_in_harmony_with_the_earth.pdf,https://perma.cc/C9VC-3GA8,EDI_NENA.ON002.text.CUPEWorkinginHarmony.2013,
