ResourceID	Title	originalURL	Perma.ccURL	Elementarystudentssimulation(resourcepositionoutof20)	Middlestudentssimulation(resourcepositionoutof30)	Highschoolstudentssimulation(resourcepositionoutof40)	Highereducationsimulation(resourcepositionoutof40)	Container	Genre	Resourceisinall4simulations	ResourceisintheContainerTask	Openresource?
"JL06"	"Ecology: Snakes wipe out Everglades rabbits."	"http://www.nature.com/nature/journal/v519/n7544/full/519393d.html "	"https://perma.cc/4FNV-XYGC"	14.0	16.0	18.0	32.0	"Journal"	"Article"	"yes"	""	"?"
"JL07"	"Severe mammal declines coincide with proliferation of invasive Burmese pythons in Everglades National Park"	"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289325/ "	"https://perma.cc/LX5C-EG8J"				33.0	"Journal"	"Article"	""	"yes (adult)"	"yes"
"NE02"	"Florida's Python Problem: Snakes reshape the Everglades"	"http://www.npr.org/2013/01/14/169343960/floridas-python-problem-snakes-reshape-the-everglades"	"https://perma.cc/ZVA8-UZY6"		18.0	19.0	4.0	"News"	"Podcast/Article"	""	""	"yes"
"WE02"	"Burmese Pythons: Research"	"http://www.nps.gov/ever/learn/nature/burmesepythonresearch.htm "	"https://perma.cc/RX56-XQ5Z"	3.0	3.0	3.0	3.0	"Website"	""	"yes"	""	"yes"
"WE03"	"Natural resource management, Burmese python"	"http://www.nps.gov/ever/learn/nature/upload/2013-Python-Reprint-HI-RES-2.pdf"	""			20.0	34.0	"Website"	"Fact sheet"	""	"yes (adult, 9-12)"	"yes"
"NE03"	"The Snake That's Eating Florida!"	"http://www.nytimes.com/2015/04/06/us/the-burmese-python-snake-thats-eating-florida.html?_r=1 "	"https://perma.cc/6DZ2-VRXX"		20.0	21.0	6.0	"News"	"Article"	""	"yes (adult, 9-12, 6-8)"	""
"NE07"	"Giant Python Had 87 Eggs"	"http://www.ocala.com/article/20120813/ARTICLES/120819897"	""		22.0	22.0		"News"	"Article"	""	"yes (9-12, 6-8)"	""
"WE04"	"Invasion of the Giant Pythons"	"http://www.pbs.org/wnet/nature/invasion-of-the-giant-pythons-video-full-episode/5565/ "	"https://perma.cc/5N7W-WZ47"	15.0	23.0	23.0	14.0	"Website"	"video"	""	""	"yes"
"WE11"	"Everglades Python Hunt Would Set Terrible Precedent"	"http://www.peer.org/news/news-releases/everglades-python-hunt-would-set-terrible-precedent.html"	"https://perma.cc/KNR6-TTCT"			24.0		"Website"	"Article"	""	""	"yes"
"JL10"	"Severe mammal declines coincide with proliferation of invasive Burmese pythons in Everglades National Park"	"http://www.pnas.org/content/109/7/2418.full"	"https://perma.cc/X9E4-FTXK"	16.0	19.0	25.0		"Journal"	"Article"	""	"yes (6-8, 4-5)"	""
"MA03"	"USDA Testing New Burmese Python Trap in Everglades"	"http://www.reptilesmagazine.com/Snakes/Wild-Snakes/USDA-Testing-New-Burmese-Python-Trap-In-Everglades/ "	"https://perma.cc/QHY6-VDUG"				16.0	"Magazine"	"Article"	""	""	"?"
"MA06"	"Attack of the Giant Pythons"	"http://www.smithsonianmag.com/science-nature/attack-of-the-giant-pythons-862863/?no-ist\",\"http://www.smithsonianmag.com/science-nature/attack-of-the-giant-pythons-862863/?no-ist"	"https://perma.cc/WR37-LGNC"		24.0	26.0		"Magazine"	"Article"	""	"yes (6-8)"	"?"
"MA09"	"Why are Enormous, Alligator-eating Pythons Invading Florida?"	"http://www.theatlantic.com/national/archive/2012/02/why-are-enormous-alligator-eating-pythons-invading-florida/252359/\",\"http://www.theatlantic.com/national/archive/2012/02/why-are-enormous-alligator-eating-pythons-invading-florida/252359/"	"https://perma.cc/5HKQ-8WZL"		25.0	27.0		"Magazine"	"Article"	""	"yes (9-12)"	""
"MA07"	"Pythons Attack the Everglades"	"http://www.timeforkids.com/news/pythons-attack-everglades/28101\",\"http://www.timeforkids.com/news/pythons-attack-everglades/28101"	""	4.0	26.0			"Magazine"	"Article"	""	"yes (6-8, 4-5)"	"?"
"BK07"	"Invasive Pythons in the United States: Ecology of an Introduced Predator"	"https://books.google.com/books?id=6KkFcpAHGl8C&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false  "	"https://perma.cc/993L-DZQR"	17.0	27.0	28.0	35.0	"Book "	""	"yes"	"yes (all cohorts)"	""
"WE05"	"Burmese Pythons in South Florida: Scientific Support for Invasive Species Management"	"https://edis.ifas.ufl.edu/uw286"	""			29.0	36.0	"Website"	"Fact sheet"	""	"yes (9-12)"	"yes"
"WE06"	"Burmese pythons in Florida"	"https://en.wikipedia.org/wiki/Burmese_pythons_in_Florida "	"https://perma.cc/2BPQ-5T4T"	2.0	2.0	2.0	2.0	"Website"	"Article"	"yes"	"yes (all cohorts)"	"yes"
"WE07"	"A Ton of Burmese Pythons Removed in 90 Days"	"https://medium.com/environmental-science-department/a-ton-of-burmese-pythons-removed-in-90-days-dd33ccb8d7e6#.65ni4bpef "	"https://perma.cc/7G2Y-XL98"		28.0		37.0	"Website"	"Article"	""	""	"yes"
"BK10"	"Restoring America's Everglades"	"https://obamawhitehouse.archives.gov/sites/default/files/page/files/everglades_report__13_july_2012.pdf  "	"https://perma.cc/759U-SZF6"			37.0		"Book"	"Report"	""	""	"yes"
"PP02"	"Potential problems of removing one invasive species at a time: Interactions between invasive vertebrates and unexpected effects of removal programs"	"https://peerj.com/preprints/1651/ "	"https://perma.cc/C9W4-ULNW"			30.0	38.0	"Preprint"	"Article"	""	"yes (adult, 9-12)"	"yes"
"WE08"	"Pythons overtake Everglades"	"https://student.societyforscience.org/node/358 "	""		9.0		39.0	"Website"	"Article"	""	""	"yes"
"WE18"	"The Snakes That Ate Florida"	"https://thenib.com/the-snakes-that-ate-florida-e7a52ea72aab#.h0riscx3c"	"https://perma.cc/G2EC-LZJL"	18.0	17.0	31.0		"Website"	"Comic/Article"	""	""	"yes"
"JL08"	"Reptilian pathogens of the Florida everglades: the associated costs of Burmese pythons"	"https://www.aphis.usda.gov/wildlife_damage/nwrc/publications/07pubs/engeman0712.pdf "	"https://perma.cc/Z3DG-RUE8"				40.0	"Journal"	"Article"	""	""	"yes"
