Filename	Description	OriginalURL	Perma.cc
"Trachtenberg_PM_CM_20thCentury_Tapes_20140228"	"Nuclear Sharing. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140228-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140303"	"1961-1962. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140303-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140305"	"1962-1963. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140305-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140307"	"1963-1991. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140307-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140310"	"1963-1991. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140310-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140312"	"Conclusion. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140312-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_TermPaper"	"Term paper prompt for Political Science 138b: Twentieth Century International Politics"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/papers.htm"	"n/a"
"Trachtenberg_PM_CM_After-9-11_FirstPaper"	"Prompt for first paper (U.S. policy on Iranian nuclear question) for Political Science 120b: The World after 9/11"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/First%20Paper%20prompt.docx"	"n/a"
"Trachtenberg_PM_CM_After-9-11_FirstPaper_Model"	"Model submission for first paper (U.S. policy on Iranian nuclear question) for Political Science 120b: The World after 9/11"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/First%20paper(draft).doc"	"n/a"
"Trachtenberg_PM_CM_After-9-11_Mearsheimer"	"Video file, John Mearsheimer, “The Future of U.S.-Chinese Relations” (Berkeley, Apr. 2002)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/mearsheimer02.rm"	"n/a"
"Trachtenberg_PM_CM_After-9-11_SecondPaper"	"Prompt for second paper (North Korean nuclear question) for Political Science 120b: The World after 9/11"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/Second%20Paper(prompt)(final).doc"	"n/a"
