Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"peg_2"	"peg_pain_intensity_and_pain_interference"	""	"dropdown"	"<div class=\"rich-text-field-label\"><p>2) What number best describes how, during the past week, pain has interfered with your <span style=\"text-decoration: underline;\">enjoyment of life</span>?</p></div>"	"0, 0 (Does not interfere) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (Completely Interferes)"	"0=Does not Interfere, 10=Completely Interferes"	""			""	""	""	"RH"		""		""
"peg_3"	"peg_pain_intensity_and_pain_interference"	""	"dropdown"	"<div class=\"rich-text-field-label\"><p style=\"margin: 0in; vertical-align: baseline;\">3) What number best describes how, during the past week, pain has interfered with your <u>general activity</u>? </p></div>"	"0, 0 (Does not interfere) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (Completely Interferes)"	"0=Does not Interfere, 10=Completely Interferes"	""			""	""	""	"RH"		""		""
"gad_1"	"generalized_anxiety_disorder_gad2"	"Over the last 2 weeks, how often have you been bothered by the following problems?"	"radio"	"Feeling nervous, anxious, or on edge"	"0, not at all | 1, several days | 2, more than half the days | 3, nearly every day"	""	""			""	""	""	""		"gad2"		""
"gad_2"	"generalized_anxiety_disorder_gad2"	""	"radio"	"Not being able to stop or control worrying"	"0, not at all | 1, several days | 2, more than half the days | 3, nearly every day"	""	""			""	""	""	""		"gad2"		""
"phq_2_1"	"phq2"	"Over the past 2 weeks, how often have you been bothered by the following problems? \n\n"	"radio"	"Little interest or pleasure in doing things"	"0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"	""	""			""	""	""	""		"phq_2"		""
"phq_2_2"	"phq2"	""	"radio"	"Feeling down, depressed, or hopeless"	"0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"	""	""			""	""	""	""		"phq_2"		""
"taps_1"	"taps_substance_use_screener"	"In the PAST 12 MONTHS..."	"radio"	"How often have you used any tobacco product (for example, cigarettes, e-cigarettes, cigars, pipes, or smokeless tobacco)?"	"0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never"	""	""			""	""	""	""		"taps"		""
"taps_2"	"taps_substance_use_screener"	""	"radio"	"How often have you had 5 or more drinks containing alcohol in one day? One standard drink is about 1 small glass of wine (5 oz), 1 beer (12 oz), or 1 single shot of liquor. (Note: This question should only be answered by males)."	"0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never"	""	""			""	""	""	""		"taps"		""
"taps_3"	"taps_substance_use_screener"	""	"radio"	"How often have you had 4 or more drinks containing alcohol in one day? One standard drink is about 1 small glass of wine (5 oz), 1 beer (12 oz), or 1 single shot of liquor. (Note: This question should only be answered by females)."	"0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never"	""	""			""	""	""	""		"taps"		""
"taps_4"	"taps_substance_use_screener"	""	"radio"	"How often have you used any drugs including marijuana, cocaine or crack, heroin, methamphetamine (crystal meth), hallucinogens, ecstasy/MDMA?"	"0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never"	""	""			""	""	""	""		"taps"		""
"taps_5"	"taps_substance_use_screener"	""	"radio"	"How often have you used any prescription medications just for the feeling, more than prescribed or that were not prescribed for you? Prescription medications that may be used this way include: Opiate pain relievers (for example, OxyContin, Vicodin, Percocet, Methadone) Medications for anxiety or sleeping (for example, Xanax, Ativan, Klonopin) Medications for ADHD (for example, Adderall or Ritalin)"	"0, Daily or Almost Daily | 1, Weekly | 2, Monthly | 3, Less Than Monthly | 4, Never"	""	""			""	""	""	""		"taps"		""
"promis_pfa11_158853"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Are you able to do chores such as vacuuming or yard work?"	"5, Without any difficulty | 4, With a little difficulty | 3, With some difficulty | 2, With much difficulty | 1, Unable to do"	""	""			""	""	""	""		""		""
"promis_pfa21_b1098b"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Are you able to go up and down stairs at a normal pace?"	"5, Without any difficulty | 4, With a little difficulty | 3, With some difficulty | 2, With much difficulty | 1, Unable to do"	""	""			""	""	""	""		""		""
"promis_pfa23_9028e9"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Are you able to go for a walk of at least 15 minutes?"	"5, Without any difficulty | 4, With a little difficulty | 3, With some difficulty | 2, With much difficulty | 1, Unable to do"	""	""			""	""	""	""		""		""
"promis_pfa53_ea3b15"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Are you able to run errands and shop?"	"5, Without any difficulty | 4, With a little difficulty | 3, With some difficulty | 2, With much difficulty | 1, Unable to do"	""	""			""	""	""	""		""		""
"promis_pfc12"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Does your health now limit you in doing two hours of physical labor?"	"5, Not at all | 4, Very little | 3, Somewhat | 2, Quite a lot | 1, Cannot do"	""	""			""	""	""	""		""		""
"promis_pfb1"	"promis_sf_v12_physical_function_6b"	""	"radio"	"Does your health now limit you in doing moderate work around the house like vacuuming, sweeping floors or carrying in groceries?"	"5, Not at all | 4, Very little | 3, Somewhat | 2, Quite a lot | 1, Cannot do"	""	""			""	""	""	""		""		""
"promis_sleep116"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nMy sleep was refreshing."	"5, Not at all | 4, A little bit | 3, Somewhat | 2, Quite a bit | 1, Very much"	""	""			""	""	""	""		""		""
"promis_sleep20"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nI had a problem with my sleep."	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_sleep44"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nI had difficulty falling asleep."	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_sleep108"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nMy sleep was restless."	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_sleep72"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nI tried hard to get to sleep."	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_sleep109"	"promis_sf_v10_sleep_disturbance_6a"	""	"radio"	"In the past 7 days\nMy sleep quality was..."	"5, Very poor | 4, Poor | 3, Fair | 2, Good | 1, Very good"	""	""			""	""	""	""		""		""
"hrssleep"	"sleep_duration"	""	"descriptive"	"<div class=\"rich-text-field-label\"><p>During the past month, how many hours and minutes of actual sleep did you get at night? (This may be different than the number of hours and minutes you spent in bed). </p></div>"	""	""	""			""	""	""	""		""		""
"sleephrs"	"sleep_duration"	""	"text"	"Hours"	""	""	""			""	""	""	""		""		""
"sleepmins"	"sleep_duration"	""	"text"	"Minutes"	""	""	""			""	""	""	""		""		""
"troublestayingasleep"	"sleep_habits"	"Sleep Habits: In this section we will be asking you about your sleep habits."	"dropdown"	"Do you have trouble staying asleep?"	"1, Yes | 2, No | 3, Sometimes | 4, Not sure | 5, Declined to answer"	""	""			""	""	""	""		""		""
"troublestayingasleep30days"	"sleep_habits"	""	"text"	"If yes, how many times within the past 30 days have you had problems staying asleep?"	""	""	""			""	"[troublestayingasleep] = '3' or [troublestayingasleep] = '1'"	""	""		""		""
"troublefallingasleep"	"sleep_habits"	""	"dropdown"	"Do you have trouble falling asleep?"	"1, Yes | 2, No | 3, Sometimes | 4, Not sure | 5, Declined to answer"	""	""			""	""	""	""		""		""
"troublefallingasleep30days"	"sleep_habits"	""	"text"	"If yes, how many times within the past 30 days have you had problems falling asleep?"	""	""	""			""	"[troublefallingasleep] = '1' or [troublefallingasleep] = '3' or [troublefallingasleep] = '4'"	""	""		""		""
"nightmares2"	"sleep_habits"	""	"dropdown"	"Do you have nightmares?"	"1, Yes | 2, No | 3, Sometimes | 4, Not sure | 5, Declined to answer"	""	""			""	""	""	""		""		""
"nightmares_30days"	"sleep_habits"	""	"text"	"If yes, how many times within the past 30 days have you had nightmares?"	""	""	""			""	"[nightmares2] = '1' or [nightmares2] = '3' or [nightmares2] = '4'"	""	""		""		""
"nightmaresmilitaryrandom"	"sleep_habits"	""	"text"	"When you do have nightmares, are they related to your time in the military or any other specific topic?"	""	""	""			""	"[nightmares2] = '1' or [nightmares2] = '3' or [nightmares2] = '4'"	""	""		""		""
"pcs_1"	"pain_catastrophizing_scale_short_form_6_pcs"	"Everyone experiences painful situations at some point in their lives. Such experiences may include headaches, tooth pain, joint or muscle pain. People are often exposed to situations that may cause pain such as illness, injury, dental procedures or surgery. \n\nWe are interested in the types of thoughts and feelings that you have when you are in pain. Listed below are six statements describing different thoughts and feelings that may be associated with pain. Using the following scale, please indicate the degree to which you have these thoughts and feelings when you are experiencing pain. \n\nWhen I'm in pain ... "	"radio"	"It's awful and I feel that it overwhelms me"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"pcs_2"	"pain_catastrophizing_scale_short_form_6_pcs"	""	"radio"	"I feel I can't stand it anymore"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"pcs_3"	"pain_catastrophizing_scale_short_form_6_pcs"	""	"radio"	"I become afraid that the pain will get worse"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"pcs_4"	"pain_catastrophizing_scale_short_form_6_pcs"	""	"radio"	"I keep thinking about how much it hurts"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"pcs_5"	"pain_catastrophizing_scale_short_form_6_pcs"	""	"radio"	"I keep thinking about how badly I want the pain to stop"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"pcs_6"	"pain_catastrophizing_scale_short_form_6_pcs"	""	"radio"	"I wonder whether something serious may happen"	"0, not at all | 1, to a slight degree | 2, to a moderate degree | 3, to a great degree | 4, all the time"	""	""			""	""	""	""		"pcs"		""
"globalchange"	"patient_global_impression_of_change"	""	"radio"	"Since the start of (INTERVENTION), my overall pain is .... "	"1, Very much improved | 2, Much improved | 3, Minimally improved | 4, No Change | 5, Minimally worse | 6, Much worse | 7, Very much worse"	""	""			""	""	""	""		""		""
"promis_edanx01"	"promis_sf_v10_anxiety_4a"	""	"radio"	"In the past 7 days\nI felt fearful"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_edanx40"	"promis_sf_v10_anxiety_4a"	""	"radio"	"In the past 7 days\nI found it hard to focus on anything other than my anxiety"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_edanx41"	"promis_sf_v10_anxiety_4a"	""	"radio"	"In the past 7 days\nMy worries overwhelmed me"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_edanx53"	"promis_sf_v10_anxiety_4a"	""	"radio"	"In the past 7 days\nI felt uneasy"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_eddep04_dd81a9"	"promis_sf_v10_depression_4a_ddbe"	""	"radio"	"In the past 7 days\nI felt worthless"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_eddep06_5a6b72"	"promis_sf_v10_depression_4a_ddbe"	""	"radio"	"In the past 7 days\nI felt helpless"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_eddep29_4a8bca"	"promis_sf_v10_depression_4a_ddbe"	""	"radio"	"In the past 7 days\nI felt depressed"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promis_eddep41_b6b2ac"	"promis_sf_v10_depression_4a_ddbe"	""	"radio"	"In the past 7 days\nI felt hopeless"	"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"	""	""			""	""	""	""		""		""
"promfatigue_1"	"promis_fatigue"	"During the past 7 days..."	"radio"	"I feel fatigued"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"promis_fatigue"		""
