Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_f20news_hrctweet_2015-09-27"	"https://perma.cc/H7DB-RMFK"	"https://twitter.com/HillaryClinton/status/648099640714391552"	"Clinton, Hillary"	"Xi hosting a meeting on women's rights at the UN while persecuting feminists? Shameless. #Freethe20 http://hrc.io/1KDkyFz -H"	2015	"@HillaryClinton"	"9/27/2015"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Naisi"	"https://perma.cc/4BMD-UAQK"	"https://unpo.org/article/5403?id=5403"	""	"UNPO on Unlawful Arrest and Detention of Ahwazi women"	2006	"Unrepresented Nations and Peoples Organization"	"4/11/2006"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_Mya"	"https://perma.cc/36XU-FFNW"	"https://web.archive.org/web/20040215013858/http://burmatoday.net/burmatoday2003/2004/01/040120_interview%20with%20dawwinmyamya.htm"	""	"Translation of VOA interview with Daw Win Mya Mya Burma Today News"	2004	"Burma Today News"	"2/15/2004"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Iran; MyrickWeinstein_fpp_Iran_Najjar"	"https://perma.cc/JE68-HSWZ"	"https://web.archive.org/web/20120307165847/http://www.wluml.org/node/4991"	""	"Iran: Kobra Najjar's stoning sentence has been converted into one hundred lashes. | Women Reclaiming and Redefining Cultures"	2012	"Women Living Under Muslim Laws"	"3/7/2012"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Ghorbani �"	"https://perma.cc/L7MN-BVVU"	"https://web.archive.org/web/20131006095247/https://www.wluml.org/node/6518"	""	"Iran: Long list of those awaiting execution by stoning | Women Reclaiming and Redefining Cultures"	2010	"Women Living Under Muslim Laws"	"7/26/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Safarzadeh"	"https://perma.cc/62ZL-5RYP"	"https://web.archive.org/web/20131104141424/http://chrr.biz/spip.php?article20423"	"Committe of Human Rights Reporters"	"Report on latest condition of female political prisoners in Iran"	2013	"????? ????????? ???? ???"	"3/16/2013"	"9/9/2021"
"MyrickWeinstein_fpp_Syria_al-Horani"	"https://perma.cc/3G3F-YBL7"	"https://web.archive.org/web/20150906074259/http://www7.nationalacademies.org/humanrights/CHR_057461.htm"	""	"Four Syrian Colleagues Released from Prison 6/21/2010"	2010	"Committee on Human Rights"	"6/21/2010"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Najjar2"	"https://perma.cc/FV8H-VN4A"	"https://web.archive.org/web/20151110194817/https://www.channel4.com/news/articles/politics/international_politics/stoning+victims+survivors+and+the+condemed/3705277.html"	""	"Stoning: victims, survivors, and the condemned - Channel 4 News"	2010	"Channel 4 News"	"7/9/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Mansouri"	"https://perma.cc/9RVJ-EEEB"	"https://web.archive.org/web/20170720103512/http://iliberty.org.uk/daughter-worried-of-his-fathers-whereabouts-writes-to-un-rapporteur/"	"Mansouri, Masoumeh"	"Daughter worried of his father�s whereabouts writes to UN Rapporteur"	2017	"International Liberty Association"	"5/4/2017"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Bahreman"	"https://perma.cc/HS7P-VMK2"	"https://web.archive.org/web/20190118041134/http://persian2english.com/?p=22743"	""	"Women�s rights activist Maryam Bahreman released from prison | Persian2English"	2011	"Persian2English"	"9/15/2011"	"9/8/2021"
"MyrickWeinstein_fpp_China_Ping"	"https://perma.cc/J69U-EGVW"	"https://web.archive.org/web/20190822030928/http://act.amnestyusa.org/ea-action/action?ea.client.id=1839&ea.campaign.id=33712"	""	"Stand for Prisoners of Conscience: Free Liu Ping!"	2019	"Amnesty International USA"	"8/22/2019"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Ebrahimi"	"https://perma.cc/5BNJ-XCHR"	"https://web.archive.org/web/20200119171026/http://www.wluml.org/node/164"	""	"UPDATE: Iran: Mokarrameh Ebrahimi released from prison! | Women Reclaiming and Redefining Cultures"	2008	"Women Living Under Muslim Laws"	"3/19/2008"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_ el-Massry"	"https://perma.cc/HU28-KLM5"	"https://web.archive.org/web/20200302040405/https://www.amnesty.org/en/latest/news/2018/01/egypt-release-of-activist-mahienour-elmassry-a-rare-moment-of-justice/"	""	"Egypt: Release of activist Mahienour el-Massry a rare moment of justice | Amnesty International"	2018	"Amnesty International USA"	"1/16/2018"	"9/8/2021"
