file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	date4	time4	date5	time5	date6	time6	source	notes	content
"Chile_1988_No_23"	901	1988	"No"		"9/26/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"there has been much violence in last 15 years; Pinochet's human rights violations; vote No for happiness; we're voting No, no has more support; issue of hunger; pregnant mothers have to give state-provided nutrition to their kids; people talking about the problem; Sra Yolita; what women want in the future; UP was a crisis; policy successes of pre-UP governments; military gov hasn't delivered; I say vote no, for mostly value-related reasons; the meaning of Si vs. No vote; Pinochet's human rights violations; we have to look to the future; Frei: the No is a better future; horsemen; get involved in the march; unfair conditions with respect to advertising and media"
"Chile_1988_No_24"	905	1988	"No"		"9/27/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"La alegr�a ya viene jingle; Pinochet: we are at war; insecurity: thefts and bulgaries; Carlos Duper on the rise of insecurity and violence; Testimony by Claudio Arrau and support for the No campaign; \"\"Marcha de la Alegr�a\"\" all over the country; La alegr�a est� en marcha video; Walk for Peace in Santiago; Hortencia Buci (Allende's widow) back in the country; Testimony by Luis Maria A.; NO means having the option in one year to vote for many options; Invitation to Pinochet, but still no response; La alegr�a ya viene and Vamos a decir que No music video   "
"Chile_1988_No_25"	901	1988	"No"		"9/28/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"we want peace; no means change; No is going to win; I'm voting no so my kid can live in democracy; we're voting No to get peace; problem of housing; my housing saga and UF problem; this gov hasn't built enough houses; if you got a subsidized house under this gov, you earned it, not a gift; No is going to win in Stgo, but what about regions?; things going badly here; everyone here is going to vote NO; if No wins there will be change; they're not paying much for potatoes here; businessman: I'm for the No because we need freedom; we're voting No for change; voting No because regime does things badly; voting No b/c against torture, murders; vote No for change; Gabriel Valdes: in the future we need a national unity government; this national unity will solve a lot of problems; we have a bright future awaiting; horsemen; get involved in the march"
"Chile_1988_No_26"	905	1988	"No"		"9/29/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"La alegr�a ya viene jingle; surveys predict No winning with 45%; Vamos a decir que No music video; La alegr�a ya viene jingle; No means free elections in the future; Testimony by Victor Carmine; Chile for all: for S� and for No; Gabrierla Mistral and education; Pablo Neruda and education; Mistral and Neruda wouldn't have been able to study at the university (too expensive); Enrique DEstigny's testimony on bad education policies the last 15 years, especially at the university level; Testimony by Andres Zaldivar criticism of the Si campaign; La alegr�a est� en marcha music video; La Marcha de la Alegr�a gets to Santiago on October 1st; la alegr�a ya viene jingle  "
"Chile_1988_No_27"	901	1988	"No"		"9/30/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"no to Pinochet the warrior; issue of human rights; report on No caravan; it's time for unity, like a big family; women are frustrated, want change; this regime is destroying families with a lot of policy failures; the No is reconciliation, unity, a bunch of other good things; what the Si and No votes mean (with Pinochet footage); voting will be fair, secret; we're voting No; Pinochet: free elections if the No wins; Chile has no international prestige; Chile's prestige will return under democracy; Lagos: let's talk about the future; in the future we will need truth and justice; we need growth with equity; there's been less investment recently than in the past; we need to continue with export promotion; and control inflation; and everyone has equal opportunity; there will be unity; let's go together to a brighter future; horsemen; get involved in the march; celebrate at home the day of the plebiscite"
"Chile_1988_No_28"	890	1988	"No"		"10/1/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; Maria Maluenda's testimony on the assassination of her son; la alegr�a ya viene/vamos a decir que no music videos and behind the scenes; la alegr�a est� en marcha music video; tips and recommendations for voting day; campesinos and indigenous communities' support for No; Pinochet saying the poor can vote for No; International artist's support for No; Testimony by Isabel Allende and support for No campaign; Chilean Symphonic Orchestra; Patricio Aylwin's criticism of Pinochet for saying no to dialogue; la alegr�a ya viene music video; vamos a decir que no music video; la alegr�a est� en marcha music video; "
"Chile_1988_Si_01"	890	1988	"Si"		"9/5/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"food shortages under Allende; myriad problems of Allende government; we�re for the Si; Si, usted decide; let's march toward the pais ganador; Pinochet has been promoting regional development; issue: exports; Buchi: gov has done exports; this has improved jobs; also economic growth; we've improved exports; Perez de Arce: it would be strange for anyone to want to return to socialism; if we want property rights we should vote si; Chile is now a spectacular exporter; exports create jobs; this policy has created jobs; business is booming because of exports; cherry exports; RN support Si; Espina and Matthei: RN supports Si; A si victory will bring change; Espina and Matthei: Si victory brings change; Allamand: this government has delivered development; but now we need democracy; Si represents democracy; RN supports Si; RN logo; Si al futuro, Si a Pinochet"
"Chile_1988_Si_02"	886	1988	"Si"		"9/6/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"S� pa�s ganador jingle; Housing project led by Pinochet; Live question by civilian to government about people living in campaments and the future of this project, and response; Number of families who bennefitted from housing project; Guillermo Medina calling workers to vote for Si; Numbers for sewage systems in Chile against the rest of Latin America; testimonies by people living in the housing projects; S� un pa�s ganadador jingle/music video; testimony by Arturo Venegas Gutierrez on why he is voting Si; Song to Pinochet; 1973, Marxism and lack of food, inflation, and list of problems"
"Chile_1988_Si_03"	850	1988	"Si"		"9/7/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"Allende gov allowed terrorism; there will be violence and chaos with a no victory; let's march toward the pais ganador; FPMR attempt on Pinochet; widow: they killed my husband; what will the gov do to prevent violence in the case of a Si victory?; we're not surprised by this opposition terrorist tactic; we'll fight terrorism with law; Carabineros have died from terrorist attacks; AN supports Si; Party pres: AN supports SI; AN formed to support government; we support Si; AN supports gov; youth leader: we support Si; AN logo; violence at ACUSO rally; Si al futuro, Si a Pinochet"
"Chile_1988_Si_04"	900	1988	"Si"		"9/8/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"S� pa�s ganador jingle; Construction of Highway Austral; Si anthem; Question to government about lack of places in the university and response from Juan Antonio Guzman; Computer classes in Chile; Testimony by Joaquin Lavin about Chile's transformation with Pinochet and why he's voting Si; Computers in schools, especially low income neighborhoods; Pinochet talking about all he wants for his people (housing, health, work, education); Juan Esteban Montero Mata's support for S� (importance of the families); Rafael Otero Echeverr�a talks about communism before Pinochet and the importance of voting S� for economical progress; Words by Jorge Alessandri to UDI; Marcela Cubillos supports for S�; Music with images of UDI and families, workers, Pinochet; S� jingles; 1973: problems in the transportation system; testimonies by workers and why they don't want to go back to problems of the past; "
