file	duration	year	candidate	round	source	content
"Peru_2001_Garcia_28"	151	2001	"Garcia"	2	"Ghibellini"	"Alan has experience; he created a bunch of jobs; guaranteed 8 hour day; built hospitals; spent lots of money on schools, raised teacher salaries; comedores populares; aldeas infantiles; supported clubes de madres, extended vaso de leche; unified defense ministries; created national police out of three agencies, and trained police to fight terrorists; did decentralization; Alan respected freedom of the press and independence of branches of government; dio y dara trabajo"
"Peru_2001_Garcia_29"	36	2001	"Garcia"	2	"IPYS"	"I will eliminate \"\"services\"\", respect 8-hr workday; lower utility rates, free educ, lower cost of medicines"
"Peru_2001_Garcia_30"	35	2001	"Garcia"	2	"U Lima"	"I'll lower cost of medicines"
"Peru_2001_Garcia_31"	11	2001	"Garcia"	2	"IPYS"	"attend closing rally"
"Peru_2001_Garcia_32"	60	2001	"Garcia"	2	"U Lima"	"unity government"
"Peru_2001_Garcia_33"	31	2001	"Garcia"	2	"Ghibellini"	"we need to put unemployed people to work in municipios"
"Peru_2001_Garcia_34"	30	2001	"Garcia"	2	"Ghibellini"	"I will create jobs through various programs"
"Peru_2001_Garcia_35"	10	2001	"Garcia"	2	"Ghibellini"	"vote for Peru"
"Peru_2001_Toledo_01"	41	2001	"Toledo"	1	"IPYS"	"Toledo understands problems and will create jobs in ag; specific agricultural measures"
"Peru_2001_Toledo_02"	31	2001	"Toledo"	1	"IPYS"	"Toledo got out of poverty, got trained in labor economics; jobs are the most important issue for him; he'll create more jobs"
"Peru_2001_Toledo_03"	44	2001	"Toledo"	1	"U Lima"	"song \"\"Con Toledo Mas\"\"--short"
"Peru_2001_Toledo_04"	303	2001	"Toledo"	1	"U Lima"	"song \"\"Con Toledo Mas\"\"--long"
"Peru_2001_Toledo_05"	134	2001	"Toledo"	1	"U Lima"	"criticism of the single national district reform under Fujimori; we got back democracy thanks to the many regions; specific decentralizing demands for Paniagua; we need unity; and democracy"
"Peru_2001_Toledo_06"	167	2001	"Toledo"	1	"IPYS"	"education is important; specific education policies"
"Peru_2001_Toledo_07"	22	2001	"Toledo"	1	"IPYS"	"testimonials--he's great"
"Peru_2001_Toledo_08"	21	2001	"Toledo"	1	"IPYS"	"people endorsing his policies"
"Peru_2001_Toledo_09"	41	2001	"Toledo"	1	"IPYS"	"stimulating national industry"
"Peru_2001_Toledo_10"	100	2001	"Toledo"	1	"IPYS"	"we will create a consejo nacional de la juventud; we�ll create universities; jovenes song"
"Peru_2001_Toledo_11"	40	2001	"Toledo"	1	"IPYS"	"Toledo knows women; support for women's jobs"
"Peru_2001_Toledo_12"	286	2001	"Toledo"	1	"U Lima"	"work together with women to create dignified jobs; nutritional training for women working in vaso de leche, etc.; social security for women working in clubes de madres, etc.; support for working mothers; women's problems in the workplace; Toledo: I promise to work for women; we'll expand childcare; we'll get women involved in social orgs; job training and support for women; Eliane: I'll be in the streets with women; a Peru with opportunities for everyone"
"Peru_2001_Toledo_13"	26	2001	"Toledo"	1	"IPYS"	"Toledo knows poverty; so he'll create jobs"
"Peru_2001_Toledo_14"	40	2001	"Toledo"	1	"IPYS"	"we'll create jobs, raise salaries in PYMES"
"Peru_2001_Toledo_15"	150	2001	"Toledo"	1	"U Lima"	"we've achieved democracy; let's make Peru a united family, a big house where everyone is welcome; we'll create more jobs"
"Peru_2001_Toledo_16"	149	2001	"Toledo"	1	"IPYS"	"Peru has great national treasures; but our tourism industry lags behind that of Mexico, Spain; we will reinvigorate tourism; we have many resources; we will improve tourism"
"Peru_2001_Toledo_17"	42	2001	"Toledo"	1	"IPYS"	"Peru has great national treasures; we'll create jobs in tourism"
"Peru_2001_Toledo_18"	29	2001	"Toledo"	1	"U Lima"	"various endorsements of Toledo"
"Peru_2001_Toledo_19"	31	2001	"Toledo"	1	"U Lima"	"Toledo creates jobs; he's not corrupt, he stands out, etc."
"Peru_2001_Toledo_20"	32	2001	"Toledo"	1	"IPYS"	"we will build housing; and this creates jobs"
"Peru_2001_Toledo_21"	26	2001	"Toledo"	2	"U Lima"	"attack on Alan crisis"
"Peru_2001_Toledo_22"	38	2001	"Toledo"	2	"IPYS"	"food shortages under Alan"
"Peru_2001_Toledo_23"	87	2001	"Toledo"	2	"U Lima"	"hyperinflation under Alan; unemployment under Alan; you gave us hyperinflation; you gave us shortages; you gave us human rights violations; you speak well, govern poorly"
"Peru_2001_Toledo_24"	303	2001	"Toledo"	2	"Forch"	"song \"\"Con Toledo Mas\"\""
"Peru_2001_Toledo_25"	167	2001	"Toledo"	2	"U Lima"	"education is important; specific education policies"
"Peru_2001_Toledo_26"	38	2001	"Toledo"	2	"Forch"	"to help families we'll create jobs; childcare; fight violence; train fathers to participate in children's education"
"Peru_2001_Toledo_27"	100	2001	"Toledo"	2	"U Lima"	"we will create a consejo nacional de la juventud; we�ll create universities; jovenes song"
"Peru_2001_Toledo_28"	236	2001	"Toledo"	2	"U Lima"	"the election is coming up and it's important; irresponsable experiments--military dictatorship and Fujimori; we need to change; there are various challenges; we need to work together; let's bet on change"
"Peru_2001_Toledo_29"	33	2001	"Toledo"	2	"IPYS"	"go to closing rally; go to closing rally"
"Peru_2001_Toledo_30"	286	2001	"Toledo"	2	"U Lima"	"work together with women to create dignified jobs; nutritional training for women working in vaso de leche, etc.; social security for women working in clubes de madres, etc.; support for working mothers; women's problems in the workplace; Toledo: I promise to work for women; we'll expand childcare; we'll get women involved in social orgs; job training and support for women; Eliane: I'll be in the streets with women; a Peru with opportunities for everyone"
"Peru_2001_Toledo_31"	38	2001	"Toledo"	2	"Forch"	"we'll expand childcare; expand the seguro escolar program; national nutrition program"
"Peru_2001_Toledo_32"	41	2001	"Toledo"	2	"Forch"	"we'll expand vaso de leche and comedores populares; extend access to utilities; support for housing; support small biz"
"Peru_2001_Toledo_33"	150	2001	"Toledo"	2	"Forch"	"we've achieved democracy; let's make Peru a united family, a big house where everyone is welcome; we'll create more jobs"
"Peru_2001_Toledo_34"	151	2001	"Toledo"	2	"U Lima"	"we'll create jobs; we'll stimulate regional development; we're going to create a commission, with private and public sector participation, to create jobs"
"Peru_2001_Toledo_35"	42	2001	"Toledo"	2	"Forch"	"we'll create jobs; fair modern labor relations; job creation commission; growing economy; stimulate investment"
"Peru_2006_Flores_01"	38	2006	"Flores"	1	"TV"	"Alan--crisis--go backwards or go down; Lourdes says let's go forward together with jobs, beat poverty"
"Peru_2006_Flores_02"	239	2006	"Flores"	1	"TV"	"Lourdes childhood; childhood leader; commited to public service; education and academic career; when her mother died that made her committed to public service; prior experience in public office; she understands people's problems, listens more than talks; polladas populares, library initiative, other social acts; she's been winning people's hearts; she'll improve health; she'll improve educ; she'll create jobs; her ideology is problem solving, her enemies are poverty; she's an example, has good qualities"
"Peru_2006_Flores_03"	18	2006	"Flores"	1	"TV"	"she wins second round in surveys; she can beat Humala; only she can win"
"Peru_2006_Flores_04"	44	2006	"Flores"	1	"TV"	"problem: youth emigrate to find jobs; we'll create jobs"
"Peru_2006_Flores_05"	121	2006	"Flores"	1	"TV"	"this Sunday you choose; we've been betrayed (vague reference to her opponents); I feel your disillusionment; we need change; I don't resign myself to problems; together we can do it"
"Peru_2006_Flores_06"	50	2006	"Flores"	1	"TV"	"rally scenes; create 650,000 jobs/year; rally scenes"
"Peru_2006_Flores_07"	49	2006	"Flores"	1	"TV"	"rally scenes; create 650,000 jobs/year"
"Peru_2006_Flores_08"	31	2006	"Flores"	1	"TV"	"Alan kicked the mentally ill aprista; his presidency was a disaster; he's a loser and says whatever to get elected"
"Peru_2006_Flores_09"	46	2006	"Flores"	1	"TV"	"Ray not in school, has to do odd jobs; we'll create jobs through investment; and Ray will be in school; I'm committed to a country with more work"
"Peru_2006_Flores_10"	36	2006	"Flores"	1	"TV"	"problem of lines at hospitals; we'll build hospitals, allow appointments by phone"
"Peru_2006_Flores_11"	39	2006	"Flores"	1	"TV"	"political class dishonest; I'm going to vote for Dra. Lourdes Nano"
"Peru_2006_Flores_12"	42	2006	"Flores"	1	"TV"	"our government changes lives; 650,000 jobs/year"
"Peru_2006_Flores_13"	42	2006	"Flores"	1	"TV"	"650,000 jobs/year"
"Peru_2006_Garcia_01"	20	2006	"Garcia"	1	"TV"	"they don't respect 8 hour workday; we were well paid under Alan"
"Peru_2006_Garcia_02"	20	2006	"Garcia"	1	"TV"	"they don't respect 8 hour workday; Alan will make sure those laws are respected"
"Peru_2006_Garcia_03"	30	2006	"Garcia"	1	"TV"	"APRA has never betrayed the people"
"Peru_2006_Garcia_04"	20	2006	"Garcia"	1	"TV"	"gana el pueblo, gana peru"
"Peru_2006_Garcia_05"	20	2006	"Garcia"	1	"TV"	"problem--not enough hours of school"
"Peru_2006_Garcia_06"	15	2006	"Garcia"	1	"TV"	"Lourdes and the rich get desparate, campaign dirty"
"Peru_2006_Garcia_07"	31	2006	"Garcia"	1	"TV"	"Stars dancing--Machu Picchu"
"Peru_2006_Garcia_08"	40	2006	"Garcia"	1	"TV"	"our country has growth potential; right believes in injustice, extremism creates chaos and loses jobs; APRA has a serious proposal for jobs with social justice"
"Peru_2006_Garcia_09"	191	2006	"Garcia"	1	"TV"	"I ask for support for a plan for jobs, social justice, labor rights, security; there is a great opportunity for growth and development; generic criticism of the two mistaken paths; Sierra Exportadora, Banco Agrario; Banco de la Nacion credits to PYMES; cut municipal taxes; lower utility prices (and SOAT, and medicines); labor rights; better education, better teacher pay, more hours of school; better paid cops; better pensions; today there is no sendero; today no econ crisis; I have a plan for jobs with social justice, I won't let you down"
"Peru_2006_Garcia_10"	30	2006	"Garcia"	1	"TV"	"specific job policy commitments"
"Peru_2006_Garcia_11"	62	2006	"Garcia"	1	"TV"	"I will reduce utilities prices; lower prices of utilities"
"Peru_2006_Garcia_12"	30	2006	"Garcia"	1	"TV"	"job creation policies for youth"
"Peru_2006_Garcia_13"	80	2006	"Garcia"	1	"TV"	"APRA is with the youth"
"Peru_2006_Garcia_14"	160	2006	"Garcia"	1	"TV"	"APRA is with the youth; APRA is the party of everyone, not sectarian; numerous specific policies; numerous specific policies"
"Peru_2006_Garcia_15"	30	2006	"Garcia"	1	"TV"	"stars dancing on beach"
"Peru_2006_Garcia_16"	20	2006	"Garcia"	1	"TV"	"problem of utility prices"
"Peru_2006_Garcia_17"	42	2006	"Garcia"	2	"TV"	"problem of water; we don't have water; agua para todos projects"
"Peru_2006_Garcia_18"	31	2006	"Garcia"	2	"TV"	"we need responsible change"
"Peru_2006_Garcia_19"	20	2006	"Garcia"	2	"TV"	"Chavez says he supports Ollanta; attend cierre"
"Peru_2006_Garcia_20"	75	2006	"Garcia"	2	"TV"	"specific job policies; rally scene; job creation policies for youth"
"Peru_2006_Garcia_21"	30	2006	"Garcia"	2	"TV"	"job creation policies for youth"
"Peru_2006_Garcia_22"	62	2006	"Garcia"	2	"TV"	"I will reduce utilities prices; lower prices of utilities"
"Peru_2006_Garcia_23"	29	2006	"Garcia"	2	"TV"	"don't vote for Ollanta's violence"
"Peru_2006_Humala_01"	31	2006	"Humala"	1	"TV"	"they promised opportunity for poor, laughed at you; we will fight poverty"
"Peru_2006_Humala_02"	41	2006	"Humala"	1	"TV"	"they promised youth opportunities, laughed at you; we'll unify the country; they promised opportunity for poor, laughed at you; we will fight poverty"
"Peru_2006_Humala_03"	31	2006	"Humala"	1	"TV"	"they promised youth opportunities, laughed at you; we'll unify the country"
