file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	source	notes	content
"Brazil_1989_Collor_55"	587	1989	"Collor"	2	"12/7/1989"	"n"	""	""	""	""	"Doxa"	"File split, this is part 2."	"Erundina administration in Sao Paulo solved no problems; men on street: she didn't do anything; Lula won't do what he promises; Nova Republica and other favela problems in SP; Erundina never did anything for our favela; Collor won in SP; PT lost in all the cities it governs; truck driver union leader: we support Collor, he'll look after our interests; Collor rallies in SP; fed gov not giving retirees enough to eat; retirees with Collor; health measures for children; educ measures; these proposals are not just theory, they are in the program; students with Collor; Collor hand gesture; Alagoas rally; we're with the people, not the powerful"
"Brazil_1989_Collor_56"	234	1989	"Collor"	2	"12/8/1989"	"n"	""	""	""	""	"Doxa"	"First 4 minutes only."	"Brazilian flag and Lula's policies; Collor talking agaisnt Lula; Collor at S�o Paulo; \"\"Collor � progresso\"\"; people's support to Collor;"
"Brazil_1989_Collor_57"	573	1989	"Collor"	2	"12/9/1989"	"n"	""	""	""	""	"Doxa"	""	"we'll never vote again for PT; PT lost in all the cities it governed; Lula admires Hitler, Khomeini; Collor respected by foreign leaders; Lula will bring violence to the campo; investments will leave; Lula is intolerant of other ideas; Lula will bring strikes and chaos; Collor is peace and that's what people want; honor our flag it's green-yellow not red; Collor hand gesture; we're voting for Collor in my town; I vote Collor, he helps poor; Lula not qualified to be pres; not voting for Lula b/c SP municipal gov bad; I'm voting for Collor; Collor has more experience; Collor famous for fighting marajas; defining a maraja; details of the maraja problem and what Collor did; Collor also got anti-maraja legislation in the new Constitution; Collor also got anti-maraja legislation in the new Constitution; good result in Alagoas; PT lost in all the cities it governed; rally in Alagoas; Collor at rally: our commitment is with the people"
"Brazil_1989_Collor_58"	600	1989	"Collor"	2	"12/10/1989"	"n"	""	""	""	""	"Doxa"	""	"I'm coming from a massive rally; the election is coming up; this is a democratic moment; the issues are prosperity, jobs, etc.; on the other side is intolerance, backwardness; it's about our country, our flag not changing its colors, our national anthem; thanks Parana for a great rally; thanks Brazil for your confidence (I'm going to win); voting Collor b/c more experience; he's honest, decent; everyone shows they want change, Collor is less radical change; rallies; work democratically for a new Brazil; rally in Curitiba, carreata in SP; Itamar's experience; Itamar at rally: let's go with Collor; Bisol says he has no talent or intelligence; Brizola: I won't go on the same stage as him b/c of his corrupt dealings; Bisol is corrupt"
"Brazil_1989_Collor_59"	599	1989	"Collor"	2	"12/11/1989"	"n"	""	""	""	""	"Doxa"	""	"I believe in peace; Lula evaded the question of whether he'd be a loyal opponent to my future government; CUT, which controls the PT, said it would do strikes if I won; I think strikes are legitimate and I will fight unfair work conditions; inflation also hurts workers and the government caused it; I'm against unfair bosses and thus support the right to strike; Lula is blackmailing you with the horrible consequences of striking; the PT will do anything to win; what Lula defends is the same as communism in E. Europe; their methods in this campaign have been violent; I am strong and firm and they will not defeat me; confronting them my methods will be fair because I have votes; and we'll make the country grow with all the good consequences that brings; and I won't allow political strikes; PT's terrible management of health in SP; they're on the side of violence, chaos, irresponsability; and we are peace and tranquility; vote for me"
"Brazil_1989_Collor_60"	450	1989	"Collor"	2	"12/12/1989"	"n"	""	""	""	""	"Doxa"	"Missing last 2:30"	"Programa Ferreira Netto: Collor's interview"
"Brazil_1989_Lula_01"	301	1989	"Lula"	1	"9/15/1989"	"d"	"9/15/1989"	"n"	"9/16/1989"	"d"	"FPA"	""	"this is a democratic moment, now we can choose; invitation to watch our TV program; bankers win, people lose with inflation; attend SP rally; film Os Corruptos Tambem Choram"
"Brazil_1989_Lula_02"	297	1989	"Lula"	1	"9/16/1989"	"n"	"9/17/1989"	"d"	""	""	"FPA"	""	"Rede Povo; special clip on who's really on the side of the people; violent images of the dictatorship; Lula as leader of the metal workers; Collor and PDS's support for dictatorship; creation of Frente Popular; Domingo na Pra�a da S�; Lula's testimony on the dominant classes' fear of his campaign;"
"Brazil_1989_Lula_03"	300	1989	"Lula"	1	"9/17/1989"	"n"	"9/18/1989"	"d"	""	""	"FPA"	""	"exposing corruption scandal in SP; those responsible are linked to Janio Quadros; Suplicy on issue of corruption; more reporting on corruption; dramatizing issue of corruption; Lula will fix it; this report shows specific corruptions scandals; more on corruption problem; we will solve it, putting corrupt in jail, creating public oversight, etc."
"Brazil_1989_Lula_04"	326	1989	"Lula"	1	"9/18/1989"	"n"	"9/19/1989"	"d"	""	""	"FPA"	""	"Rede Povo; Report on Brazilian's poverty; unfair wealth distribution; Lula on wealth distribution and salaries; jingle \"\"Lula\"\"; meeting at Pra�a da Se in Sao Paulo;"
