WedeenArchivedVideoURLs	Viewfullcollectionunder:https://webrecorder.io/QDR/wedeen	C	D
"https://www.youtube.com/watch?v=Bnpy7mrGMS0"	"https://www.youtube.com/watch?v=Bnpy7mrGMS0"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b44/20190219203253/https://www.youtube.com/watch?v=-b2Nnj6mD0Y"	"Alternative version found and archived: https://www.youtube.com/watch?v=-b2Nnj6mD0Y"
"https://tinyurl.com/yb3u5scm"	"https://www.facebook.com/falkasim/videos/1427300797327040/"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b34/20190219141023/https://www.facebook.com/falkasim/videos/1427300797327040/"	""
"https://www.youtube.com/watch?v=Imf-n8ZrQeY"	"https://www.youtube.com/watch?v=Imf-n8ZrQeY"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b35/20190219141219/https://www.youtube.com/watch?v=Imf-n8ZrQeY"	""
"https://tinyurl.com/y768ruxp"	"https://www.youtube.com/watch?v=xJFzLGadH7o&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b36/20190219141532/https://www.youtube.com/watch?v=xJFzLGadH7o&feature=youtu.be"	""
"https://tinyurl.com/yag5mxw6"	"https://www.youtube.com/watch?v=jRDDl9X5gRg&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/20190220151728/https://www.youtube.com/watch?v=jRDDl9X5gRg&feature=youtu.be"	""
"https://tinyurl.com/y9m3yxg8"	"https://www.youtube.com/watch?v=bNPDUAXeQHo&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b38/20190219145233/https://www.youtube.com/watch?v=bNPDUAXeQHo&feature=youtu.be"	""
"https://www.youtube.com/watch?v=M4roi0LitdA"	"https://www.youtube.com/watch?v=M4roi0LitdA"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b39/20190219152705/https://www.youtube.com/watch?v=M4roi0LitdA"	""
"https://tinyurl.com/y7td7yc2"	"https://www.youtube.com/watch?v=7CwCVpjO3vQ"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b40/20190219152906/https://www.youtube.com/watch?v=7CwCVpjO3vQ"	""
"https://tinyurl.com/y82xtf3e"	"http://razaniyyat.tumblr.com/post/3349313574/via-misbarsyria-this-video-shows-1500-syrians"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b41/20190219153532/http://razaniyyat.tumblr.com/post/3349313574/via-misbarsyria-this-video-shows-1500-syrians"	""
"https://www.youtube.com/watch?v=y1PvEg98Z9Y"	"https://www.youtube.com/watch?v=y1PvEg98Z9Y"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b42/20190219154607/https://www.youtube.com/watch?v=y1PvEg98Z9Y"	""
"https://youtu.be/y-eIktOiKP4"	"https://www.youtube.com/watch?v=y-eIktOiKP4&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/20190220152200/https://www.youtube.com/watch?v=y-eIktOiKP4&feature=youtu.be"	""
"https://www.youtube.com/watch?v=9H9LE9bfsHQ"	"https://www.youtube.com/watch?v=9H9LE9bfsHQ"	""	"n/a"
