Filename	Title	Source
"Trachtenberg_BR_19600224_1"	"Tomkins Draft Letter to Hood, February 20, 1960"	"n/a"
"Trachtenberg_BR_19600224_2"	"Telegram from Foreign Office to Washington No. 136, February 17, 1960"	"n/a"
"Trachtenberg_BR_19600227"	"Ramsbotham Letter to Macmillan, February 24, 1960"	"n/a"
"Trachtenberg_BR_19600229"	"Summary of German Paper re: Principles for a Berlin Settlement,  February 29, 1960"	"n/a"
"Trachtenberg_BR_19600301"	"European Economic Problems (Part)"	"n/a"
"Trachtenberg_BR_19600303"	"Jebb Letter to Dean, March 3, 1960"	"n/a"
"Trachtenberg_BR_19600307"	"Berlin Contingency Planning - French Proposals, the Secretary, March 7, 1960"	"n/a"
"Trachtenberg_BR_19600308"	"De Zulueta letter to the Prime Minister, March 8, 1960"	"n/a"
"Trachtenberg_BR_19600309"	"Telegram from Washington to Foreign Office, March 9, 1960"	"n/a"
"Trachtenberg_BR_19600310"	"Telegram from Washington to Foreign Office, March 9, 1960"	"n/a"
"Trachtenberg_BR_19600311"	"Rumbold Letter to Herter, re: Berlin, March 11, 1960"	"n/a"
"Trachtenberg_BR_19600312--13"	"Points discussed with General de Gaulle at Rambouillet, March 12-13, 1960"	"n/a"
"Trachtenberg_BR_19600315"	"Rumbold Letter to Hood, March 15, 1960"	"n/a"
"Trachtenberg_BR_19600316"	"Telegram from Washington to Foreign Office, March 15, 1960"	"n/a"
"Trachtenberg_BR_19600318--19"	"Telegram from Washington to Foreign Office, March 18, 1560"	"Public Record Office, London"
"Trachtenberg_BR_19600319"	"Eisenhower Letter to Macmillan, March 19, 1960"	"n/a"
"Trachtenberg_BR_19600320--21"	"Telegram from Washington to Foreign Office, March 20, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600321"	"Discussion with the Americans on M.R.B.M.s and on Deterrent Weapons, Chilver, March 21, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600324"	"MRBMs in Allied Command Europe, U.K.N.M.R., March 24, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600325"	"Drinkall Letter to Rumbold, March 25, 1960"	"n/a"
"Trachtenberg_BR_19600326"	"Logan Letter to Drinkall, March 26, 1960"	"n/a"
"Trachtenberg_BR_19600326--30"	"Prime Minister's Visit to Washington, March 26-30, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600329"	"Rumbold Draft Letter to Hood, re: Working Group on Germany and Berlin"	"n/a"
