QDRFilename	Provenance	Enterspublicdomainafteryear:
"Leonard_DR_BancoCentral_Statistics_A-IV-1_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1985.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1986.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1987.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1988.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1989.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1990.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1991.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IX-1_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-V-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-V-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-V-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-V-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-V-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-10.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-11.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-12.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-8.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VI-9.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VII-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VII-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VII-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VII-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VII-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-VIII-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-X-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-10.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-8.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-1-9.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XI-2-8.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-XII-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-1_1955-1967.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-1_1968-1974.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-1_1975-1977.xlsx"	"Banco Central"	""
