Date	Location	Event Type	External Link(s)	Status	Tweet content / article abstract	Link in Twitter or Facebook post	Archived link
2014-09-26	Aarsal	Protest	http://www.twitter.com/LebFeed/status/515484715722096640	Good	بالفيديو: مظاهرة في عرسال تطلب من النصرة إجتياح بيروت! http://dlvr.it/71kHWK	http://www.lebfeed.com/بالفيديو-مظاهرة-في-عرسال-تطلب-من-النصر/	not available
2014-09-26	Aarsal	Protest	http://www.twitter.com/Live961/status/515477648848719872	Good	بالفيديو: مظاهرة في عرسال تطلب من النصرة إجتياح بيروت! تتمة http://wyz.me/amdh	http://www.live961.com/lebanon-news/news/1715255/	https://perma.cc/HZ4L-MMGG
2014-09-26	Aarsal	Protest	http://www.twitter.com/Live961/status/515472622382243842	Good	النشرة: مظاهرة في عرسال شارك فيها سوريون رفعت فيها اعلام السوري ... http://wyz.me/amd7	https://www.elnashra.com/news/show/793495/النشرة-مظاهرة-عرسال-شارك-فيها-سوريون-رفعت-فيها-اعل	https://perma.cc/SFU7-BNBU?type=image
2014-09-26	Aarsal	Protest	http://www.twitter.com/tayyar_org/status/515476050785349632	Good	بالفيديو: مظاهرة في #عرسال تطلب من " #النصرة " إجتياح #بيروت ! http://bit.ly/1n92YRK	http://archives.tayyar.org/Tayyar/News/PoliticalNews/ar-LB/nosra-beirut-3ersel-zek-313.htm	not available
2014-09-26	Aarsal	Protest	http://www.twitter.com/tayyar_org/status/515483436975656960	Good	- Lebanon News -بالفيديو: مظاهرة في عرسال تطلب من "النصرة" إجتياح بيروت! http://www.tayyar.org/Tayyar/News/PoliticalNews/ar-LB/nosra-beirut-3ersel-zek-313.htm … via @tayyar_org	http://archives.tayyar.org/Tayyar/News/PoliticalNews/ar-LB/nosra-beirut-3ersel-zek-313.htm	not available
2014-09-26	Aarsal	Protest	http://www.twitter.com/tayyar_org/status/515482179397500928	Good	بالفيديو: مظاهرة في عرسال تطلب من "النصرة" إجتياح بيروت! http://fb.me/1d0CEXHh3	http://archives.tayyar.org/Tayyar/News/PoliticalNews/ar-LB/nosra-beirut-3ersel-zek-313.htm	not available
2014-12-29	Aarsal	Roadblock	http://www.aljoumhouria.com//news/index/197766	Good	افادت الوكالة الوطنية للاعلام عن قطع طريق اللبوة في عين الشعب المؤدية الى عرسال في منطقة رأس السرج على مدخل البلدة من قبل شبان لبنانيين وسوريين احتجاجا على اجراءات الجيش بتفتيش السيارات المتوجهة الى الجرد اضافة الى حصر الصعود والنزول بأصحاب المقالع والكسارات اعتبارا من 1-1-2015 حفاظا على أمن عرسال من المسلحين.	NA	http://perma.cc/2FBD-YC3B
2014-12-29	Aarsal	Roadblock	http://www.tawhidarabi.org/?p=164020	Good	افاد مندوب الوكالة الوطنية للاعلام عن قطع طريق اللبوة في عين الشعب المؤدية الى عرسال في منطقة رأس السرج على مدخل البلدة من قبل شبان لبنانيين وسوريين احتجاجا على اجراءات الجيش بتفتيش السيارات المتوجهة الى الجرد اضافة الى حصر الصعود والنزول بأصحاب المقالع والكسارات اعتبارا من 1-1-2015 حفاظا على أمن عرسال من المسلحين.	NA	https://perma.cc/U9BZ-DHVQ
2014-12-29	Aarsal	Roadblock	http://www.twitter.com/ALJADEEDNEWS/status/549489212278321152	Good	عدد من الشبان اللبنانيين والسوريين قطعوا طريق اللبوة في عين الشعب المؤدّية إلى #عرسال	http://www.aljadeed.tv/arabic	https://perma.cc/JQ4R-BLHW
2014-12-29	Aarsal	Roadblock	http://www.twitter.com/AlkalimaOnline/status/549481657682919424	Good	قطع الطريق عند مدخل بلدة عرسال من قبل عدد من الاهالي المحتجين على اجراءات الجيش - Al Kalima Online http://bit.ly/13O7s7f	http://www.alkalimaonline.com/article.php?id=300973&utm_content=buffer5f43f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer	not available
2014-12-29	Aarsal	Roadblock	http://www.twitter.com/futuretvnews/status/549478255493791745	Good	قطع طريق عرسال بالحجارة من قبل عدد من الأهالي المحتجين على اجراءات الجيش	No link in text	NA
