level,code,name
CLASS,6290,Other information technology and computer service activities
DIVISION,63,"Computing infrastructure, data processing, hosting, and other information service activities"
GROUP,631,"Computing infrastructure, data processing, hosting and related activities"
CLASS,6310,"Computing infrastructure, data processing, hosting and related activities"
GROUP,639,Web search portals activities and other information service activities
CLASS,6390,Web search portals activities and other information service activities
SECTION,L,Financial and insurance activities
DIVISION,64,"Financial service activities, except insurance and pension funding"
GROUP,641,Monetary intermediation
CLASS,6411,Central banking
CLASS,6419,Other monetary intermediation
GROUP,642,Activities of holding companies and financing conduits
CLASS,6421,Activities of holding companies
CLASS,6422,Activities of financing conduits
GROUP,643,"Activities of trusts, funds and similar financial entities"
CLASS,6431,Activities of money market funds
CLASS,6432,Activities of non-money market investments funds
CLASS,6433,"Activities of trust, estate and agency accounts"
GROUP,649,"Other financial service activities, except insurance and pension funding activities"
CLASS,6491,Financial leasing activities
CLASS,6492,International trade financing activities
CLASS,6493,Factoring activities
CLASS,6494,Securitisation activities
CLASS,6495,Other credit granting activities
CLASS,6499,"Other financial service activities n.e.c., except insurance and pension funding activities"
DIVISION,65,"Insurance, reinsurance and pension funding, except compulsory social security"
GROUP,651,Insurance
CLASS,6511,Life insurance
CLASS,6512,Non-life insurance
GROUP,652,Reinsurance
CLASS,6520,Reinsurance
GROUP,653,Pension funding
CLASS,6530,Pension funding
DIVISION,66,Activities auxiliary to financial service and insurance activities
GROUP,661,"Activities auxiliary to financial services, except insurance and pension funding"
CLASS,6611,Administration of financial markets
CLASS,6612,Security and commodity contracts brokerage
CLASS,6619,"Other activities auxiliary to financial service activities, except insurance and pension funding"
GROUP,662,Activities auxiliary to insurance and pension funding
CLASS,6621,Risk and damage evaluation
CLASS,6622,Activities of insurance agents and brokers
CLASS,6629,Other activities auxiliary to insurance and pension funding
GROUP,663,Fund management activities
CLASS,6630,Fund management activities
SECTION,M,Real estate activities
DIVISION,68,Real estate activities
GROUP,681,Real estate activities with own or leased property
CLASS,6810,Real estate activities with own or leased property
GROUP,682,Real estate activities on a fee or contract basis
CLASS,6821,Intermediation service activities for real estate
CLASS,6829,Other real estate activities on a fee or contract basis
SECTION,N,"Professional, scientific and technical activities"
DIVISION,69,Legal and accounting activities
GROUP,691,Legal activities
CLASS,6910,Legal activities
GROUP,692,"Accounting, bookkeeping and auditing activities; tax consultancy"
CLASS,6920,"Accounting, bookkeeping and auditing activities; tax consultancy"
DIVISION,70,Activities of head offices; management consultancy activities
GROUP,701,Activities of head offices
CLASS,7010,Activities of head offices
